a little	văn chương, văn học
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, đh, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
account	tài khoản, kế toán; tính toán
accurate	đúng đắn, chính xác, xác đáng
accuse	tố cáo, buộc tội, kết tội
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
across	qua, ngang qua
activity	sự tích cực, sự hoạt động, sự hăng hái
actor	diễn viên nam
actress	diễn viên nữ
actual	thực tế, có thật
actually	hiện nay, hiện tại
adapt	tra, lắp vào
add	cộng, thêm vào
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục,người khâm phục, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành;
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làm ảnh hưởng, tác động đến
affection	tình cảm, cảm xúc
afford	có thể, có đủ khả năng, điều kiện (làm gì)
afraid	sợ, sợ hãi, hoảng sợ
after	sau, đằng sau, sau khi
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đấy
age	tuổi
agency	tác dụng, lực; môi giới, trung gian
agent	đại lý, tác nhân
aggressive	xâm lược, hung hăng (us: xông xáo)
ago	trước đây
ahead	trước, về phía trước
aim	sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, tàu bay, khí cầu
alarm	báo động, báo nguy
alcohol	rừợu cồn
alive	sống, vẫn còn sống, còn tồn tại
all	tất cả
alone	cô đơn, một mình
alongside	sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternative	sự lựa chọn; lựa chọn
altogether	hoàn toàn, hầu như; nói chung
always	luôn luôn
amaze	làm ngạc nhiên, làm sửng sốt
ambition	hoài bão, khát vọng
ambulance	xe cứu thương, xe cấp cứu
among	giữa, ở giữa
amount	số lượng, số nhiều; lên tới (money)
amuse	làm cho vui, thích, làm buồn cười,thích thú
analysis	sự phân tích
ancient	xưa, cổ
and	và
angry	giận, tức giận
approve	tán thành, đồng ý, chấp thuận
approximate	tán thành, đồng ý, chấp thuận
area	diện tích, bề mặt
argue	tranh luận
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay; vũ trang, trang bị (vũ khí)
army	quân đội
around	quân đội
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive	sự đến, sự tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
artificial	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	thuộc nghệ thuật, thuộc mỹ thuật
as soon as	sớm, chẳng bao lâu nữa
as well as	tốt, giỏi; ôi, may quá!
ashamed	ngượng, xấu hổ
aside	về một bên, sang một bên
asleep	ngủ, đang ngủ
aspect	vẻ bề ngoài, diện mạo
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúp đỡ, người phụ tá; giúp đỡ
associate	kết giao, liên kết, kết hợp, cho cộng tác
assume	mang, khoác, có, lấy (cái vẻ, tính chất…)
assure	đảm bảo, cam đoan
at first	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
at least	học, nghiên cứu
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attempt	sự cố gắng, sự thử; cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
aunt	cô, dì
automatic	tự động
autumn	mùa thu (us: mùa thu là fall)
available	có thể dùng được, có giá trị, hiệu lực
average	có thể dùng được, có giá trị, hiệu lực
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	phần thưởng; tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awkward	vụng về, lung túng
back	vụng về, lung túng
background	phía sau; nền
backward	về phía sau, lùi lại
bacteria	vi khuẩn
bad	xấu, tồi
bag	bao, túi, cặp xách
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân; làm cho cân bằng, tương xứng
ball	quả bóng
band	băng, đai, nẹp
bandage	dải băng; băng bó
bank	bờ (sông…) , đê
bar	quán bán rượu
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
basic	cơ bản, cơ sở
basis	nền tảng, cơ sở
bath	sự tắm
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế
be going to	đậu xanh
be sick	ốm, đau, bệnh
beach	bãi biển
bear	mang, cầm, vác, đeo, ôm
beard	râu
beat	tiếng đập, sự đập; đánh đập, đấm
beautiful	đẹp
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vì
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	rượu bia
begin	bắt đầu, khởi đầu
behalf	sự thay mặt
behave	đối xử, ăn ở, cư xử
behaviour	cách đối xử, cách ăn ở,tư cách đạo đức
behind	sau, ở đằng sau
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích; giúp ích, làm lợi cho
beside	bên cạnh, so với
bet	đánh cược, cá cược; sự đánh cược
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bicycle	xe đạp
bid	đặt giá, trả giá; sự đặt giá, sự trả giá
big	to, lớn
bill	hóa đơn, giấy bạc
bin	thùng, thùng đựng rượu
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	bánh quy
bit	miếng, mảnh
bite	cắn, ngoạm; sự cắn, sự ngoạm
bitter	đắng; đắng cay, chua xót
black	đen; màu đen
blade	lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
blame	khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank	trống, để trắng; sự trống rỗng
blind	đui, mù
block	khối, tảng (đá); làm ngăn cản, ngăn chặn
blond	vàng hoe
blood	máu, huyết; sự tàn sát, chém giết
blow	nở hoa; sự nở hoa
blue	xanh, màu xanh
board	tấm ván; lát ván, lót ván
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bomb	quả bom; đánh bom, thả bom
bone	xương
book	sách; ghi chép
boot	khởi động
border	bờ, mép, vỉa, lề (đường)
bore	khoan
bored	buồn chán
born	sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	phần dưới cùng, thấp nhất; cuối, cuối cùng
bother	làm phiền, quấy rầy, làm bực mình
bottle	chai, lọ
bottom	phần dưới cùng, thấp nhất; cuối, cuối cùng
bound	làm phiền, quấy rầy, làm bực mình
bowl	cái bát
box	hộp, thùng
brain	óc não; đầu óc, trí não
branch	ngành; nhành cây, nhánh song, ngả đường
brand	nhãn (hàng hóa)
brave	gan dạ, can đảm
bread	bánh mỳ
break	bẻ gãy, đập vỡ; sự gãy, sự vỡ
breakfast	bữa điểm tâm, bữa sáng
breath	hơi thở, hơi
breathe	hít, thở
breed	nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
brick	gạch
bridge	cái cầu
brief	ngắn, gọn, vắn tắt
brilliant	tỏa sáng, rực rỡ, chói lọi
